"Port","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7"
"PA0","-","USART2_CTS","TIM2_CH1_ETR","TSC_G1_IO1","-","-","-","COMP1_OUT"
"PA1","EVENTOUT","USART2_RTS","TIM2_CH2","TSC_G1_IO2","-","-","-","-"
"PA2","TIM15_CH1","USART2_TX","TIM2_CH3","TSC_G1_IO3","-","-","-","COMP2_OUT"
"PA3","TIM15_CH2","USART2_RX","TIM2_CH4","TSC_G1_IO4","-","-","-","-"
"PA4","SPI1_NSS/I2S1_WS","USART2_CK","-","TSC_G2_IO1","TIM14_CH1","-","-","-"
"PA5","SPI1_SCK/I2S1_CK ","CEC","TIM2_CH1_ETR","TSC_G2_IO2","-","-","-","-"
"PA6","SPI1_MISO/I2S1_MCK ","TIM3_CH1","TIM1_BKIN","TSC_G2_IO3","-","TIM16_CH1","EVENTOUT","COMP1_OUT"
"PA7","SPI1_MOSI/I2S1_SD ","TIM3_CH2","TIM1_CH1N","TSC_G2_IO4","TIM14_CH1","TIM17_CH1","EVENTOUT","COMP2_OUT"
"PA8","MCO","USART1_CK","TIM1_CH1","EVENTOUT","-","-","-","-"
"PA9","TIM15_BKIN","USART1_TX","TIM1_CH2","TSC_G4_IO1","-","-","-","-"
"PA10","TIM17_BKIN","USART1_RX","TIM1_CH3","TSC_G4_IO2","-","-","-","-"
"PA11","EVENTOUT","USART1_CTS","TIM1_CH4","TSC_G4_IO3","-","-","-","COMP1_OUT"
"PA12","EVENTOUT","USART1_RTS","TIM1_ETR","TSC_G4_IO4","-","-","-","COMP2_OUT"
"PA13","SWDIO","IR_OUT","-","-","-","-","-","-"
"PA14","SWCLK","USART2_TX","-","-","-","-","-","-"
"PA15","SPI1_NSS/I2S1_WS ","USART2_RX","TIM2_CH1_ETR","EVENTOUT","-","-","-","-"
"PB0","EVENTOUT","TIM3_CH3","TIM1_CH2N","TSC_G3_IO2","-","-","-","-"
"PB1","TIM14_CH1","TIM3_CH4","TIM1_CH3N","TSC_G3_IO3","-","-","-","-"
"PB2","-","-","-","TSC_G3_IO4","-","-","-","-"
"PB3","SPI1_SCK/I2S1_CK ","EVENTOUT","TIM2_CH2","TSC_G5_IO1","-","-","-","-"
"PB4","SPI1_MISO/I2S1_MCK ","TIM3_CH1","EVENTOUT","TSC_G5_IO2","-","-","-","-"
"PB5","SPI1_MOSI/I2S1_SD ","TIM3_CH2","TIM16_BKIN","I2C1_SMBA","-","-","-","-"
"PB6","USART1_TX","I2C1_SCL","TIM16_CH1N","TSC_G5_IO3","-","-","-","-"
"PB7","USART1_RX","I2C1_SDA","TIM17_CH1N","TSC_G5_IO4","-","-","-","-"
"PB8","CEC","I2C1_SCL","TIM16_CH1","TSC_SYNC","-","-","-","-"
"PB9","IR_OUT","I2C1_SDA","TIM17_CH1","EVENTOUT","-","-","-","-"
"PB10","CEC","I2C2_SCL","TIM2_CH3","TSC_SYNC","-","-","-","-"
"PB11","EVENTOUT","I2C2_SDA","TIM2_CH4","TSC_G6_IO1","-","-","-","-"
"PB12","SPI2_NSS","EVENTOUT","TIM1_BKIN","TSC_G6_IO2","-","-","-","-"
"PB13","SPI2_SCK","-","TIM1_CH1N","TSC_G6_IO3","-","-","-","-"
"PB14","SPI2_MISO","TIM15_CH1","TIM1_CH2N","TSC_G6_IO4","-","-","-","-"
"PB15","SPI2_MOSI","TIM15_CH2","TIM1_CH3N","TIM15_CH1N","-","-","-","-"
