"Port","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15","ADC","DAC"
"PA0","-","TIM2_CH1/TIM2_ETR ","-","TSC_G1_IO1","-","-","-","USART2_CTS","-","-","-","-","-","-","-","EVENTOUT","ADC1_CH1","-"
"PA1","-","TIM2_CH2","-","TSC_G1_IO2","-","-","-","USART2_RTS_DE","-","TIM15_CH1N","-","-","-","-","-","EVENTOUT","ADC1_CH2","-"
"PA2","-","TIM2_CH2","-","TSC_G1_IO2","-","-","-","USART2_TX","-","TIM15_CH1N","-","-","-","-","-","EVENTOUT","ADC1_CH3","-"
"PA3","-","TIM2_CH4","-","TSC_G1_IO4","-","-","-","USART2_RX","-","TIM15_CH2","-","-","-","-","-","EVENTOUT","ADC1_CH4","-"
"PA4","-","-","TIM3_CH2","TSC_G2_IO1","-","SPI1_NSS","-","USART2_CK","-","-","-","-","-","-","-","EVENTOUT","ADC2_CH1","DAC1_OUT1"
"PA5","-","TIM2_CH1/TIM2_ETR ","-","TSC_G2_IO2","-","SPI1_SCK","-","-","-","-","-","-","-","-","-","EVENTOUT","ADC2_CH2","DAC1_OUT2"
"PA6","-","TIM16_CH1","TIM3_CH1","TSC_G2_IO3","-","SPI1_MISO","TIM1_BKIN","-","-","-","-","-","-","OPAMP2_DIG","-","EVENTOUT","ADC2_CH3","DAC2_OUT1"
"PA7","-","TIM17_CH1","TIM3_CH2","TSC_G2_IO4","-","SPI1_MOSI","TIM1_CH1N","-","-","-","-","-","-","-","-","EVENTOUT","ADC2_CH4","-"
"PA8","MCO","-","-","-","-","-","TIM1_CH1","USART1_CK","-","-","-","-","-","HRTIM1_CHA1","-","EVENTOUT","-","-"
"PA9","-","-","-","TSC_G4_IO1","-","-","TIM1_CH2","USART1_TX","-","TIM15_BKIN","TIM2_CH3","-","-","HRTIM1_CHA2","-","EVENTOUT","-","-"
"PA10","-","TIM17_BKIN","-","TSC_G4_IO2","-","-","TIM1_CH3","USART1_RX","COMP6_OUT","-","TIM2_CH4","-","-","HRTIM1_CHB1","-","EVENTOUT","-","-"
"PA11","-","-","-","-","-","-","TIM1_CH1N","USART1_CTS","-","CAN1_RX","-","TIM1_CH4","TIM1_BKIN2","HRTIM1_CHB2","-","EVENTOUT","-","-"
