Port,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15
PA0,-,TIM2_CH1/TIM2_ETR,TIM5_CH1,-,-,-,-,USART2_CTS,-,-,-,-,-,-,-,EVENTOUT
PA1,-,TIM2_CH2,TIM5_CH2,-,-,SPI4_MOSI/I2S4_SD,-,USART2_RTS,-,-,-,-,-,-,-,EVENTOUT
PA2,-,TIM2_CH3,TIM5_CH3,TIM9_CH1,-,I2S2_CKIN,-,USART2_TX,-,-,-,-,-,-,-,EVENTOUT
PA3,-,TIM2_CH4,TIM5_CH4,TIM9_CH2,-,I2S2_MCK,-,USART2_RX,-,-,-,-,-,-,-,EVENTOUT
PA4,-,-,-,-,-,SPI1_NSS/I2S1_WS,SPI3_NSS/I2S3_WS,USART2_CK,-,-,-,-,-,-,-,EVENTOUT
PA5,-,TIM2_CH1/TIM2_ETR,-,-,-,SPI1_SCK/I2S1_CK,-,-,-,-,-,-,-,-,-,EVENTOUT
PA6,-,TIM1_BKIN,TIM3_CH1,-,-,SPI1_MISO,I2S2_MCK,-,-,-,-,-,SDIO_CMD,-,-,EVENTOUT
PA7,-,TIM1_CH1N,TIM3_CH2,-,-,SPI1_MOSI/I2S1_SD,-,-,-,-,-,-,-,-,-,EVENTOUT
PA8,MCO_1,TIM1_CH1,-,-,I2C3_SCL,-,-,USART1_CK,-,-,USB_FS_SOF,-,SDIO_D1,-,-,EVENTOUT
PA9,-,TIM1_CH2,-,-,I2C3_SMBA,-,-,USART1_TX,-,-,USB_FS_VBUS,-,SDIO_D2,-,-,EVENTOUT
PA10,-,TIM1_CH3,-,-,-,-,SPI5_MOSI/I2S5_SD,USART1_RX,-,-,USB_FS_ID,-,-,-,-,EVENTOUT
PA11,-,TIM1_CH4,-,-,-,-,SPI4_MISO,USART1_CTS,USART6_TX,-,USB_FS_DM,-,-,-,-,EVENTOUT
PA12,-,TIM1_ETR,-,-,-,-,SPI5_MISO,USART1_RTS,USART6_RX,-,USB_FS_DP,-,-,-,-,EVENTOUT
PA13,JTMS-SWDIO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENTOUT
PA14,JTCK-SWCLK,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENTOUT
PA15,JTDI,TIM2_CH1/TIM2_ETR,-,-,-,SPI1_NSS/I2S1_WS,SPI3_NSS/I2S3_WS,USART1_TX,-,-,-,-,-,-,-,EVENTOUT
PB0,-,TIM1_CH2N,TIM3_CH3,-,-,-,SPI5_SCK/I2S5_CK,-,-,-,-,-,-,-,-,EVENTOUT
PB1,-,TIM1_CH3N,TIM3_CH4,-,-,-,SPI5_NSS/I2S5_WS,-,-,-,-,-,-,-,-,EVENTOUT
PB2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENTOUT
PB3,JTDO-SWO,TIM2_CH2,-,-,-,SPI1_SCK/I2S1_CK,SPI3_SCK/I2S3_CK,USART1_RX,-,I2C2_SDA,-,-,-,-,-,EVENTOUT
PB4,JTRST,-,TIM3_CH1,-,-,SPI1_MISO,SPI3_MISO,I2S3ext_SD,-,I2C3_SDA,-,-,SDIO_D0,-,-,EVENTOUT
PB5,-,-,TIM3_CH2,-,I2C1_SMBA,SPI1_MOSI/I2S1_SD,SPI3_MOSI/I2S3_SD,-,-,-,-,-,SDIO_D3,-,-,EVENTOUT
PB6,-,-,TIM4_CH1,-,I2C1_SCL,-,-,USART1_TX,-,-,-,-,-,-,-,EVENTOUT
PB7,-,-,TIM4_CH2,-,I2C1_SDA,-,-,USART1_RX,-,-,-,-,SDIO_D0,-,-,EVENTOUT
PB8,-,-,TIM4_CH3,TIM10_CH1,I2C1_SCL,-,SPI5_MOSI/I2S5_SD,-,-,I2C3_SDA,-,-,SDIO_D4,-,-,EVENTOUT
PB9,-,-,TIM4_CH4,TIM11_CH1,I2C1_SDA,SPI2_NSS/I2S2_WS,-,-,-,I2C2_SDA,-,-,SDIO_D5,-,-,EVENTOUT
PB10,-,TIM2_CH3,-,-,I2C2_SCL,SPI2_SCK/I2S2_CK,I2S3_MCK,-,-,-,-,-,SDIO_D7,-,-,EVENTOUT
PB11,-,TIM2_CH4,-,-,I2C2_SDA,I2S2_CKIN,-,-,-,-,-,-,-,-,-,EVENTOUT
PB12,-,TIM1_BKIN,-,-,I2C2_SMBA,SPI2_NSS/I2S2_WS,SPI4_NSS/I2S4_WS,SPI3_SCK/I2S3_CK,-,-,-,-,-,-,-,EVENTOUT
PB13,-,TIM1_CH1N,-,-,-,SPI2_SCK/I2S2_CK,SPI4_SCK/I2S4_CK,-,-,-,-,-,-,-,-,EVENTOUT
PB14,-,TIM1_CH2N,-,-,-,SPI2_MISO,I2S2ext_SD,-,-,-,-,-,SDIO_D6,-,-,EVENTOUT
PB15,RTC_50Hz,TIM1_CH3N,-,-,-,SPI2_MOSI/I2S2_SD,-,-,-,-,-,-,SDIO_CK,-,-,EVENTOUT
PC0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENTOUT
PC1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENTOUT
PC2,-,-,-,-,-,SPI2_MISO,I2S2ext_SD,-,-,-,-,-,-,-,-,EVENTOUT
PC3,-,-,-,-,-,SPI2_MOSI/I2S2_SD,-,-,-,-,-,-,-,-,-,EVENTOUT
PC4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENTOUT
PC5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENTOUT
