Port,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,ADC1
PA0,SPI2_SCK,USART2_CTS,-,-,USART4_TX,-,-,-,ADC1_CH0
PA1,SPI1_SCK/I2S1_CK,USART2_RTS_DE_CK,-,-,USART4_RX,TIM15_CH1N,I2C1_SMBA,EVENTOUT,ADC1_CH1
PA2,SPI1_MOSI/I2S1_SD,USART2_TX,-,-,-,TIM15_CH1,-,-,ADC1_CH2
PA3,SPI2_MISO,USART2_RX,-,-,-,TIM15_CH2,-,EVENTOUT,ADC1_CH3
PA4,SPI1_NSS/I2S1_WS,SPI2_MOSI,-,-,TIM14_CH1,-,-,EVENTOUT,ADC1_CH4
PA5,SPI1_SCK/I2S1_CKCEC,-,-,-,USART3_TX,-,-,EVENTOUT,ADC1_CH5
PA6,SPI1_MISO/I2S1_MCK,TIM3_CH1,TIM1_BKIN,-,USART3_CTS,TIM16_CH1,-,-,ADC1_CH6
PA7,SPI1_MOSI/I2S1_SD,TIM3_CH2,TIM1_CH1N,-,TIM14_CH1,TIM17_CH1,-,-,ADC1_CH7
PA8,MCO,SPI2_NSS,TIM1_CH1,-,-,-,-,EVENTOUT,-
PA9,MCO,USART1_TX,TIM1_CH2,-,SPI2_MISO,TIM15_BKIN,I2C1_SCL,EVENTOUT,-
PA10,SPI2_MOSI,USART1_RX,TIM1_CH3,-,-,TIM17_BKIN,I2C1_SDA,EVENTOUT,-
PA11,SPI1_MISO/I2S1_MCK,USART1_CTS,TIM1_CH4,-,-,TIM1_BKIN2,I2C2_SCL,-,-
PA12,SPI1_MOSI/I2S1_SD,USART1_RTS_DE_CK,TIM1_ETR,-,-,I2S_CKIN,I2C2_SDA,-,-
PA13,SWDIO,IR_OUT,-,-,-,-,-,EVENTOUT,-
PA14,SWCLK,USART2_TX,-,-,-,-,-,EVENTOUT,-
PA15,SPI1_NSS/I2S1_WS,USART2_RX,-,-,USART4_RTS_DE_CK,USART3_RTS_DE_CK,-,EVENTOUT,-
PB0,SPI1_NSS/I2S1_WS,TIM3_CH3,TIM1_CH2N,-,USART3_RX,-,-,-,ADC1_CH8
PB1,TIM14_CH1,TIM3_CH4,TIM1_CH3N,-,USART3_RTS_DE_CK,-,-,EVENTOUT,ADC1_CH9
PB2,-,SPI2_MISO,-,-,USART3_TX,-,-,EVENTOUT,ADC1_CH10
PB3,SPI1_SCK/I2S1_CK,TIM1_CH2,-,-,USART1_RTS_DE_CK,-,-,EVENTOUT,-
PB4,SPI1_MISO/I2S1_MCK,TIM3_CH1,-,-,USART1_CTS,TIM17_BKIN,-,EVENTOUT,-
PB5,SPI1_MOSI/I2S1_SD,TIM3_CH2,TIM16_BKIN,-,-,-,I2C1_SMBA,-,-
PB6,USART1_TX,TIM1_CH3,TIM16_CH1N,-,SPI2_MISO,-,I2C1_SCL,EVENTOUT,-
PB7,USART1_RX,SPI2_MOSI,TIM17_CH1N,-,USART4_CTS,-,I2C1_SDA,EVENTOUT,-
PB8,-,SPI2_SCK,TIM16_CH1,-,USART3_TX,TIM15_BKIN,I2C1_SCL,EVENTOUT,-
PB9,IR_OUT,-,TIM17_CH1,-,USART3_RX,SPI2_NSS,I2C1_SDA,EVENTOUT,-
PB10,-,-,-,-,USART3_TX,SPI2_SCK,I2C2_SCL,-,ADC1_CH11
PB11,SPI2_MOSI,-,TIM2_CH4,-,USART3_RX,-,I2C2_SDA,-,ADC1_CH15
PB12,SPI2_NSS,-,TIM1_BKIN,-,-,TIM15_BKIN,-,EVENTOUT,ADC1_CH16
PB13,SPI2_SCK,-,TIM1_CH1N,-,USART3_CTS,TIM15_CH1N,I2C2_SCL,EVENTOUT,-
PB14,SPI2_MISO,-,TIM1_CH2N,-,USART3_RTS_DE_CK,TIM15_CH1,I2C2_SDA,EVENTOUT,-
PB15,SPI2_MOSI,-,TIM1_CH3N,-,TIM15_CH1N,TIM15_CH2,-,EVENTOUT,-
PC0,-,-,-,-,-,-,-,-,-
PC1,-,-,TIM15_CH1,-,-,-,-,-,-
PC2,-,SPI2_MISO,TIM15_CH2,-,-,-,-,-,-
PC3,-,SPI2_MOSI,-,-,-,-,-,-,-
PC4,USART3_TX,USART1_TX,-,-,-,-,-,-,ADC1_CH17
PC5,USART3_RX,USART1_RX,-,-,-,-,-,-,ADC1_CH18
PC6,-,TIM3_CH1,-,-,-,-,-,-,-
PC7,-,TIM3_CH2,-,-,-,-,-,-,-
PC8,-,TIM3_CH3,TIM1_CH1,-,-,-,-,-,-
PC9,I2S_CKIN,TIM3_CH4,TIM1_CH2,-,-,-,-,-,-
PC10,USART3_TX,USART4_TX,TIM1_CH3,-,-,-,-,-,-
PC11,USART3_RX,USART4_RX,TIM1_CH4,-,-,-,-,-,-
PC12,-,-,TIM14_CH1,-,-,-,-,-,-
PC13,-,-,TIM1_BKIN,-,-,-,-,-,-
PC14,-,-,TIM1_BKIN2,-,-,-,-,-,-
PC15,OSC32_EN,OSC_EN,TIM15_BKIN,-,-,-,-,-,-
PD0,EVENTOUT,SPI2_NSS,TIM16_CH1,-,-,-,-,-,-
PD1,EVENTOUT,SPI2_SCK,TIM17_CH1,-,-,-,-,-,-
PD2,USART3_RTS_DE_CK,TIM3_ETR,TIM1_CH1N,-,-,-,-,-,-
PD3,USART2_CTS,SPI2_MISO,TIM1_CH2N,-,-,-,-,-,-
PD4,USART2_RTS_DE_CK,SPI2_MOSI,TIM1_CH3N,-,-,-,-,-,-
PD5,USART2_TX,SPI1_MISO/I2S1_MCK,TIM1_BKIN,-,-,-,-,-,-
PD6,USART2_RX,SPI1_MOSI/I2S1_SDLP,-,-,-,-,-,-,-
PD8,USART3_TX,SPI1_SCK/I2S1_CKLP,-,-,-,-,-,-,-
PD9,USART3_RX,SPI1_NSS/I2S1_WS,TIM1_BKIN2,-,-,-,-,-,-
PF0,-,-,TIM14_CH1,-,-,-,-,-,-
PF1,OSC_EN,-,TIM15_CH1N,-,-,-,-,-,-
PF2,-,-,-,-,-,-,-,-,-
