Port,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7
PA0,SPI2_SCK,USART2_CTS,TIM2_CH1_ETR,-,USART4_TX,LPTIM1_OUT,UCPD2_FRSTX,COMP1_OUT
PA1,SPI1_SCK/I2S1_CK,USART2_RTS_DE_CK,TIM2_CH2,-,USART4_RX,TIM15_CH1N,I2C1_SMBA,EVENTOUT
PA2,SPI1_MOSI/I2S1_SD,USART2_TX,TIM2_CH3,-,UCPD1_FRSTX,TIM15_CH1,LPUART1_TX,COMP2_OUT
PA3,SPI2_MISO,USART2_RX,TIM2_CH4,-,UCPD2_FRSTX,TIM15_CH2,LPUART1_RX,EVENTOUT
PA4,SPI1_NSS/I2S1_WS,SPI2_MOSI,-,-,TIM14_CH1,LPTIM2_OUT,UCPD2_FRSTX,EVENTOUT
PA5,SPI1_SCK/I2S1_CKCEC,TIM2_CH1_ETR,-,USART3_TX,LPTIM2_ETRU,CPD1_FRSTX,EVENTOUT,
PA6,SPI1_MISO/I2S1_MCK,TIM3_CH1,TIM1_BKIN,-,USART3_CTS,TIM16_CH1,LPUART1_CTS,COMP1_OUT
PA7,SPI1_MOSI/I2S1_SD,TIM3_CH2,TIM1_CH1N,-,TIM14_CH1,TIM17_CH1,UCPD1_FRSTX,COMP2_OUT
PA8,MCO,SPI2_NSS,TIM1_CH1,-,-,LPTIM2_OUT,-,EVENTOUT
PA9,MCO,USART1_TX,TIM1_CH2,-,SPI2_MISO,TIM15_BKIN,I2C1_SCL,EVENTOUT
PA10,SPI2_MOSI,USART1_RX,TIM1_CH3,-,-,TIM17_BKIN,I2C1_SDA,EVENTOUT
PA11,SPI1_MISO/I2S1_MCK,USART1_CTS,TIM1_CH4,-,-,TIM1_BKIN2,I2C2_SCL,COMP1_OUT
PA12,SPI1_MOSI/I2S1_SD,USART1_RTS_DE_CK,TIM1_ETR,-,-,I2S_CKIN,I2C2_SDA,COMP2_OUT
PA13,SWDIO,IR_OUT,-,-,-,-,-,EVENTOUT
PA14,SWCLK,USART2_TX,-,-,-,-,-,EVENTOUT
PA15,SPI1_NSS/I2S1_WS,USART2_RX,TIM2_CH1_ETR,-,USART4_RTS_DE_CK,USART3_RTS_DE_CK,-,EVENTOUT
PB0,SPI1_NSS/I2S1_WS,TIM3_CH3,TIM1_CH2N,-,USART3_RX,LPTIM1_OUT,UCPD1_FRSTX,COMP1_OUT
PB1,TIM14_CH1,TIM3_CH4,TIM1_CH3N,-,USART3_RTS_DE_CK,LPTIM2_IN1,LPUART1_RTS_DE,EVENTOUT
PB2,-,SPI2_MISO,-,-,USART3_TX,LPTIM1_OUT,-,EVENTOUT
PB3,SPI1_SCK/I2S1_CK,TIM1_CH2,TIM2_CH2,-,USART1_RTS_DE_CK,-,-,EVENTOUT
PB4,SPI1_MISO/I2S1_MCK,TIM3_CH1,-,-,USART1_CTS,TIM17_BKIN,-,EVENTOUT
PB5,SPI1_MOSI/I2S1_SD,TIM3_CH2,TIM16_BKIN,-,-,LPTIM1_IN1,I2C1_SMBA,COMP2_OUT
PB6,USART1_TX,TIM1_CH3,TIM16_CH1N,-,SPI2_MISO,LPTIM1_ETR,I2C1_SCL,EVENTOUT
PB7,USART1_RX,SPI2_MOSI,TIM17_CH1N,-,USART4_CTS,LPTIM1_IN2,I2C1_SDA,EVENTOUT
PB8,CEC,SPI2_SCK,TIM16_CH1,-,USART3_TX,TIM15_BKIN,I2C1_SCL,EVENTOUT
PB9,IR_OUT,UCPD2_FRSTX,TIM17_CH1,-,USART3_RX,SPI2_NSS,I2C1_SDA,EVENTOUT
PB10,CECLP,UART1_RX,TIM2_CH3,-,USART3_TX,SPI2_SCK,I2C2_SCL,COMP1_OUT
PB11,SPI2_MOSI,LPUART1_TX,TIM2_CH4,-,USART3_RX,-,I2C2_SDA,COMP2_OUT
PB12,SPI2_NSS,LPUART1_RTS_DE,TIM1_BKIN,-,-,TIM15_BKIN,UCPD2_FRSTX,EVENTOUT
PB13,SPI2_SCK,LPUART1_CTS,TIM1_CH1N,-,USART3_CTS,TIM15_CH1N,I2C2_SCL,EVENTOUT
PB14,SPI2_MISO,UCPD1_FRSTX,TIM1_CH2N,-,USART3_RTS_DE_CK,TIM15_CH1,I2C2_SDA,EVENTOUT
PB15,SPI2_MOSI,-,TIM1_CH3N,-,TIM15_CH1N,TIM15_CH2,-,EVENTOUT
PC0,LPTIM1_IN1,LPUART1_RX,LPTIM2_IN1,-,-,-,-,-
PC1,LPTIM1_OUT,LPUART1_TX,TIM15_CH1,-,-,-,-,-
PC2,LPTIM1_IN2,SPI2_MISO,TIM15_CH2,-,-,-,-,-
PC3,LPTIM1_ETR,SPI2_MOSI,LPTIM2_ETR,-,-,-,-,-
PC4,USART3_TX,USART1_TX,TIM2_CH1_ETR,-,-,-,-,-
PC5,USART3_RX,USART1_RX,TIM2_CH2,-,-,-,-,-
PC6,UCPD1_FRSTX,TIM3_CH1,TIM2_CH3,-,-,-,-,-
PC7,UCPD2_FRSTX,TIM3_CH2,TIM2_CH4,-,-,-,-,-
PC8,UCPD2_FRSTX,TIM3_CH3,TIM1_CH1,-,-,-,-,-
PC9,I2S_CKIN,TIM3_CH4,TIM1_CH2,-,-,-,-,-
PC10,USART3_TX,USART4_TX,TIM1_CH3,-,-,-,-,-
PC11,USART3_RX,USART4_RX,TIM1_CH4,-,-,-,-,-
PC12,LPTIM1_IN1,UCPD1_FRSTX,TIM14_CH1,-,-,-,-,-
PC13,-,-,TIM1_BKIN,-,-,-,-,-
PC14,-,-,TIM1_BKIN2,-,-,-,-,-
PC15,OSC32_EN,OSC_EN,TIM15_BKIN,-,-,-,-,-
PD0,EVENTOUT,SPI2_NSS,TIM16_CH1,-,-,-,-,-
PD1,EVENTOUT,SPI2_SCK,TIM17_CH1,-,-,-,-,-
PD2,USART3_RTS_DE_CK,TIM3_ETR,TIM1_CH1N,-,-,-,-,-
PD3,USART2_CTS,SPI2_MISO,TIM1_CH2N,-,-,-,-,-
PD4,USART2_RTS_DE_CK,SPI2_MOSI,TIM1_CH3N,-,-,-,-,-
PD5,USART2_TX,SPI1_MISO/I2S1_MCK,TIM1_BKIN,-,-,-,-,-
PD6,USART2_RX,SPI1_MOSI/I2S1_SDLP,TIM2_OUT,-,-,-,-,-
PD8,USART3_TX,SPI1_SCK/I2S1_CKLP,TIM1_OUT,-,-,-,-,-
PD9,USART3_RX,SPI1_NSS/I2S1_WS,TIM1_BKIN2,-,-,,,
PF0,-,-,TIM14_CH1,-,-,-,-,-
PF1,OSC_EN,-,TIM15_CH1N,-,-,-,-,-
PF2,MCO,-,-,-,-,-,-,-
